2017/07/14,15:47:28,25.75,67.2424,172.774,0.0039,-0.0468,0.897,44.2563,"$GPGGA,064721.000,3536.3046,N,13833.6397,E,0,00,,280.5,M,38.7,M,,0000*75"
2017/07/14,15:47:29,25.75,67.3401,128.796,0.0195,-0.039,0.8853,44.0278,"$GPGGA,064722.000,3536.3046,N,13833.6397,E,0,00,,280.5,M,38.7,M,,0000*76"
2017/07/14,15:47:30,25.75,67.2424,172.774,0.0117,-0.0468,0.8775,44.052,"$GPGGA,064723.000,3536.3046,N,13833.6397,E,0,00,,280.5,M,38.7,M,,0000*77"
2017/07/14,15:47:31,25.75,67.2424,172.774,0.0078,-0.0468,0.9009,44.5277,"$GPGGA,064724.000,3536.3046,N,13833.6397,E,0,00,,280.5,M,38.7,M,,0000*70"
2017/07/14,15:47:32,25.75,67.2424,172.774,0.0039,-0.039,0.8814,44.664,"$GPGGA,064725.000,3536.3046,N,13833.6397,E,0,00,,280.5,M,38.7,M,,0000*71"
2017/07/14,15:47:33,25.812,67.2424,172.774,0.0039,-0.0468,0.8853,43.8432,"$GPGGA,064726.000,,,,,0,00,,,M,0.0,M,,0000*57"
2017/07/14,15:47:34,25.75,67.2424,172.774,0,-0.0468,0.8814,43.7607,"$GPGGA,064727.000,,,,,0,00,,,M,0.0,M,,0000*56"
2017/07/14,15:47:35,25.75,67.1448,172.774,0.0039,-0.0273,0.8736,55.0074,"$GPGGA,064728.061,,,,,0,00,,,M,0.0,M,,0000*5E"
2017/07/14,15:47:36,25.75,67.3401,172.774,0,-0.0507,0.8892,55.8131,"$GPGGA,064729.061,,,,,0,00,,,M,0.0,M,,0000*5F"
2017/07/14,15:47:37,25.812,67.2424,173.209,0.0039,-0.0468,0.8892,56.2052,"$GPGGA,064730.060,,,,,0,00,,,M,0.0,M,,0000*56"
2017/07/14,15:47:38,25.75,67.2424,62.3812,0.0117,-0.0429,0.8814,55.5579,"$GPGGA,064731.060,,,,,0,00,,,M,0.0,M,,0000*57"
2017/07/14,15:47:39,25.75,67.2424,173.209,0.0039,-0.0468,0.8931,59.8135,"$GPGGA,064732.060,,,,,0,00,,,M,0.0,M,,0000*54"
2017/07/14,15:47:40,25.75,67.2791,172.774,0,-0.0234,0.8814,60.1708,"$GPGGA,064733.060,,,,,0,00,,,M,0.0,M,,0000*55"
2017/07/14,15:47:41,25.75,67.2424,172.774,0.0078,-0.039,0.8736,60.1598,"$GPGGA,064734.060,,,,,0,00,,,M,0.0,M,,0000*52"
2017/07/14,15:47:42,25.75,67.2791,172.774,0.0117,-0.0429,0.8931,59.7199,"$GPGGA,064735.060,,,,,0,00,,,M,0.0,M,,0000*53"
2017/07/14,15:47:43,25.75,67.2791,128.796,0.0039,-0.0429,0.8775,54.7546,"$GPGGA,064736.060,,,,,0,00,,,M,0.0,M,,0000*50"
2017/07/14,15:47:44,25.812,67.2791,78.9277,0.0117,-0.0468,0.8892,56.8736,"$GPGGA,064737.060,,,,,0,00,,,M,0.0,M,,0000*51"
2017/07/14,15:47:45,25.75,67.2791,172.774,0.0039,-0.0468,0.8775,57.6792,"$GPGGA,064738.060,,,,,0,00,,,M,0.0,M,,0000*5E"
2017/07/14,15:47:46,25.75,67.2791,172.919,0.0156,-0.0351,0.897,58.1162,"$GPGGA,064739.060,,,,,0,00,,,M,0.0,M,,0000*5F"
2017/07/14,15:47:47,25.812,67.2791,128.796,0,-0.0429,0.8736,58.4631,"$GPGGA,064740.060,,,,,0,00,,,M,0.0,M,,0000*51"
2017/07/14,15:47:48,25.812,67.2791,172.774,0.0078,-0.0468,0.897,58.174,"$GPGGA,064741.060,,,,,0,00,,,M,0.0,M,,0000*50"
2017/07/14,15:47:49,25.812,67.2791,172.774,0.0039,-0.0468,0.8814,54.7286,"$GPGGA,064742.060,,,,,0,00,,,M,0.0,M,,0000*53"
2017/07/14,15:47:50,25.75,67.2791,172.774,0.0078,-0.0429,0.8775,59.9041,"$GPGGA,064743.060,,,,,0,00,,,M,0.0,M,,0000*52"
2017/07/14,15:47:51,25.812,67.2791,172.774,0.0078,-0.0429,0.8853,59.1782,"$GPGGA,064744.060,,,,,0,00,,,M,0.0,M,,0000*55"
2017/07/14,15:47:52,25.812,67.2791,172.774,0.0117,-0.0429,0.8775,56.0186,"$GPGGA,064745.060,,,,,0,00,,,M,0.0,M,,0000*54"
2017/07/14,15:47:53,25.812,67.2791,172.774,0.0117,-0.039,0.8775,58.6924,"$GPGGA,064746.060,,,,,0,00,,,M,0.0,M,,0000*57"
2017/07/14,15:47:54,25.812,67.0837,172.774,0.0039,-0.0429,0.8931,57.932,"$GPGGA,064747.060,,,,,0,00,,,M,0.0,M,,0000*56"
2017/07/14,15:47:55,25.812,67.2791,172.774,-0.0039,-0.0351,0.8697,56.9636,"$GPGGA,064748.060,,,,,0,00,,,M,0.0,M,,0000*59"
2017/07/14,15:47:56,25.812,67.1814,172.774,0.0039,-0.0429,0.8853,59.8931,"$GPGGA,064749.060,,,,,0,00,,,M,0.0,M,,0000*58"
2017/07/14,15:47:57,25.812,67.1814,172.774,-0.0039,-0.039,0.8814,57.932,"$GPGGA,064750.060,,,,,0,00,,,M,0.0,M,,0000*50"
